alpha,CL,CD,Cm
-15,-0.7893,0.04273,-0.1193
-14.5,-0.7985,0.03523,-0.1247
-14,-0.7509,0.03269,-0.13
-13.5,-0.6975,0.03039,-0.136
-13,-0.6576,0.0284,-0.1388
-12,-0.6642,0.02082,-0.1371
-11.5,-0.6434,0.01755,-0.1395
-11,-0.607,0.01268,-0.1474
-10.5,-0.5473,0.00993,-0.1545
-10,-0.4889,0.00903,-0.157
-9.5,-0.4312,0.00837,-0.1588
-9,-0.3811,0.00809,-0.1587
-8,-0.2721,0.00746,-0.1599
-7.5,-0.2154,0.00714,-0.1609
-7,-0.1587,0.00699,-0.1616
-6.5,-0.1007,0.00672,-0.1627
-6,-0.0422,0.00654,-0.1637
-5.5,0.016,0.00634,-0.1647
-5,0.0767,0.00596,-0.1663
-4.5,0.1362,0.00564,-0.1677
-4,0.2005,0.00468,-0.1706
-3.5,0.2601,0.00461,-0.1716
-3,0.3184,0.00462,-0.1723
-2.5,0.3771,0.00468,-0.173
-2,0.4362,0.00471,-0.1737
-1.5,0.4947,0.00478,-0.1743
-1,0.5523,0.00491,-0.1747
0,0.669,0.00505,-0.1758
0.5,0.7253,0.00525,-0.176
1,0.7826,0.00538,-0.1764
2,0.8989,0.0055,-0.1774
2.5,0.9555,0.00566,-0.1776
3,1.0104,0.00593,-0.1775
3.5,1.0644,0.00627,-0.1773
4,1.1105,0.00723,-0.1756
4.5,1.1607,0.00786,-0.1747
5,1.2107,0.0085,-0.1737
5.5,1.2623,0.00896,-0.1731
6,1.3127,0.00949,-0.1722
6.5,1.3618,0.01008,-0.171
7,1.4124,0.0105,-0.1702
7.5,1.4613,0.01102,-0.1691
8,1.5103,0.01147,-0.1679
8.5,1.5553,0.01212,-0.1661
9,1.6016,0.01263,-0.1644
9.5,1.6429,0.01331,-0.1619
10,1.6779,0.01395,-0.1581
10.5,1.7143,0.01459,-0.1546
11,1.7513,0.01526,-0.1515
11.5,1.7829,0.01613,-0.1474
12,1.8135,0.01719,-0.1434
12.5,1.8376,0.01848,-0.1385
13,1.8638,0.01984,-0.1342
13.5,1.8876,0.0213,-0.1297
14,1.9133,0.02282,-0.1259
14.5,1.9312,0.02478,-0.1214
15,1.9457,0.02707,-0.1169
15.5,1.9628,0.02956,-0.1133
16,1.9747,0.03271,-0.1097
16.5,1.9827,0.03654,-0.1067
17,1.9877,0.04102,-0.1042
17.5,1.9893,0.0462,-0.1024
18,1.9876,0.05205,-0.1012
18.5,1.9886,0.05745,-0.1003
19,1.9775,0.06502,-0.1004
19.5,1.9621,0.07376,-0.1015
20,1.9424,0.08357,-0.1036
20.5,1.9379,0.09095,-0.1051
21,1.9126,0.10179,-0.1086
21.5,1.8812,0.1137,-0.1135
22,1.877,0.12103,-0.1166
22.5,1.8277,0.13432,-0.1244
23.5,1.7931,0.15441,-0.1368
